"GEO LEVEL","GEO COMPARISON","YEAR","GEO UNIT","ST","STATE","ST_ABBR","STCNTY","COUNTY","FIPS","E_TOTPOP","M_TOTPOP","E_HU","M_HU","E_HH","M_HH","E_POV150","M_POV150","E_UNEMP","M_UNEMP","E_HBURD","M_HBURD","E_NOHSDP","M_NOHSDP","E_UNINSUR","M_UNINSUR","E_AGE65","M_AGE65","E_AGE17","M_AGE17","E_DISABL","M_DISABL","E_SNGPNT","M_SNGPNT","E_LIMENG","M_LIMENG","E_MINRTY","M_MINRTY","E_MUNIT","M_MUNIT","E_MOBILE","M_MOBILE","E_CROWD","M_CROWD","E_NOVEH","M_NOVEH","E_GROUPQ","M_GROUPQ","EP_POV150","MP_POV150","EP_UNEMP","MP_UNEMP","EP_HBURD","MP_HBURD","EP_NOHSDP","MP_NOHSDP","EP_UNINSUR","MP_UNINSUR","EP_AGE65","MP_AGE65","EP_AGE17","MP_AGE17","EP_DISABL","MP_DISABL","EP_SNGPNT","MP_SNGPNT","EP_LIMENG","MP_LIMENG","EP_MINRTY","MP_MINRTY","EP_MUNIT","MP_MUNIT","EP_MOBILE","MP_MOBILE","EP_CROWD","MP_CROWD","EP_NOVEH","MP_NOVEH","EP_GROUPQ","MP_GROUPQ","EPL_POV150","EPL_UNEMP","EPL_HBURD","EPL_NOHSDP","EPL_UNINSUR","SPL_THEME1","RPL_THEME1","EPL_AGE65","EPL_AGE17","EPL_DISABL","EPL_SNGPNT","EPL_LIMENG","SPL_THEME2","RPL_THEME2","EPL_MINRTY","SPL_THEME3","RPL_THEME3","EPL_MUNIT","EPL_MOBILE","EPL_CROWD","EPL_NOVEH","EPL_GROUPQ","SPL_THEME4","RPL_THEME4","SPL_THEMES","RPL_THEMES","F_POV150","F_UNEMP","F_HBURD","F_NOHSDP","F_UNINSUR","F_THEME1","F_AGE65","F_AGE17","F_DISABL","F_SNGPNT","F_LIMENG","F_THEME2","F_MINRTY","F_THEME3","F_MUNIT","F_MOBILE","F_CROWD","F_NOVEH","F_GROUPQ","F_THEME4","F_Total","E_DAYPOP","E_NOINT","M_NOINT","E_AFAM","M_AFAM","E_HISP","M_HISP","E_ASIAN","M_ASIAN","E_AIAN","M_AIAN","E_NHPI","M_NHPI","E_TWOMORE","M_TWOMORE","E_OTHERRACE","M_OTHERRACE","EP_NOINT","MP_NOINT","EP_AFAM","MP_AFAM","EP_HISP","MP_HISP","EP_ASIAN","MP_ASIAN","EP_AIAN","MP_AIAN","EP_NHPI","MP_NHPI","EP_TWOMORE","MP_TWOMORE","EP_OTHERRACE","MP_OTHERRACE"
"County","state","2020","county","18","Indiana","IN","18029","Dearborn County","18029","49612","0","20596","74","19279","288","7353","869","884","188","3942","446","3361","362","2452","499","8676","67","11170","52","6696","653","1169","266","94","107","1910","247","1049","230","704","183","170","78","787","198","565","147","15","1.8","3.4","0.7","20.4","2.3","9.7","1","5","1","17.5","0.1","22.5","0.1","13.6","1.3","6.1","1.4","0.2","0.2","3.8","0.5","5.1","1.1","3.4","0.9","0.9","0.4","4.1","1","1.1","0.3","0.0989","0.2308","0.7033","0.3077","0.1209","1.4616","0.1868","0.4286","0.4945","0.3077","0.5824","0.1538","1.967","0.1868","0.033","0.033","0.033","0.6813","0.1758","0.1538","0.3077","0.2088","1.5274","0.1209","4.989","0.0549","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","39345","5183","754","333","179","667","0","275","48","32","32","34","49","546","148","23","23","10.6","0","0.7","0.4","1.3","0","0.6","0.1","0.1","0.1","0.1","0.1","1.1","0.3","0","0.1"
"County","state","2020","county","18","Indiana","IN","18031","Decatur County","18031","26587","0","11436","59","10241","256","4488","688","548","138","1876","290","1489","273","1545","373","4452","81","6379","73","3207","315","291","109","23","87","1428","159","635","228","521","148","85","56","432","149","393","138","17.2","2.6","4","1","18.3","2.8","8.3","1.5","5.9","1.4","16.7","0.3","24","0.3","12.2","1.2","2.8","1.1","0.1","0.3","5.4","0.6","5.6","2","4.6","1.3","0.8","0.5","4.2","1.4","1.5","0.5","0.2637","0.4286","0.3297","0.1648","0.2418","1.4286","0.1538","0.3077","0.7802","0.0989","0.011","0.0549","1.2527","0.011","0.3077","0.3077","0.3077","0.7582","0.2857","0.0879","0.3297","0.4066","1.8681","0.2418","4.8571","0.033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","26849","3607","662","39","37","550","0","492","91","0","23","0","23","260","90","87","87","13.8","0.1","0.1","0.1","2.1","0","1.9","0.3","0","0.1","0","0.1","1","0.3","0.3","0.3"
"County","state","2020","county","18","Indiana","IN","18033","Dekalb County","18033","43193","0","18162","82","16904","245","7136","695","822","224","2856","365","2624","312","3050","600","6941","53","10473","95","5454","522","989","224","106","115","2180","174","764","217","1583","268","193","86","832","195","448","142","16.7","1.6","3.7","1","16.9","2.1","9","1.1","7.1","1.4","16.1","0.1","24.2","0.2","12.7","1.2","5.9","1.3","0.3","0.3","5","0.4","4.2","1.2","8.7","1.5","1.1","0.5","4.9","1.2","1","0.3","0.2088","0.4066","0.5824","0.2308","0.4176","1.8462","0.2857","0.1648","0.7912","0.1538","0.5604","0.2198","1.89","0.1429","0.2088","0.2088","0.2088","0.5495","0.6703","0.2418","0.4505","0.1319","2.044","0.3077","5.989","0.1978","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","43960","5944","799","165","106","1240","0","152","49","19","12","0","26","604","123","0","0","13.9","0","0.4","0.2","2.9","0","0.4","0.1","0","0.1","0","0.1","1.4","0.3","0","0.1"
"County","state","2020","county","18","Indiana","IN","18035","Delaware County","18035","114461","0","52677","286","46632","657","33369","1988","3586","512","12134","689","6956","596","8490","631","19584","92","20904","39","19776","1011","3422","445","330","158","15453","695","3982","496","2416","344","710","214","3608","403","7532","759","31.2","1.8","6.4","0.9","26","1.4","9.8","0.8","7.5","0.6","17.1","0.1","18.3","0","17.5","0.9","7.3","0.9","0.3","0.1","13.5","0.6","7.6","0.9","4.6","0.7","1.5","0.5","7.7","0.9","6.6","0.7","0.978","0.9341","0.8681","0.3297","0.5275","3.6374","0.9341","0.3516","0.022","0.7363","0.8132","0.2198","2.1429","0.2967","0.7802","0.7802","0.7802","0.8462","0.2857","0.4396","0.8462","0.8791","3.2968","0.8352","9.8573","0.8242","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","114839","14739","1648","7651","412","2873","0","1595","227","94","53","56","61","3050","489","134","134","13.8","0.1","6.7","0.4","2.5","0","1.4","0.2","0.1","0.1","0","0.1","2.7","0.4","0.1","0.1"
"County","state","2020","county","18","Indiana","IN","18037","Dubois County","18037","42534","0","17936","89","16691","351","6047","872","496","210","2954","425","3065","398","1809","417","7364","51","10363","62","5246","589","741","214","453","279","4263","148","912","243","674","186","172","137","782","244","1019","211","14.5","2.1","2.2","0.9","17.7","2.5","10.6","1.4","4.3","1","17.3","0.1","24.4","0.1","12.6","1.4","4.4","1.3","1.1","0.7","10","0.3","5.1","1.4","3.8","1","1","0.8","4.7","1.4","2.4","0.5","0.0769","0.022","0.6154","0.4505","0.044","1.2088","0.0989","0.3736","0.8132","0.1429","0.1538","0.7802","2.2637","0.3956","0.6374","0.6374","0.6374","0.6813","0.2198","0.1868","0.3846","0.7033","2.1758","0.3736","6.2857","0.2418","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","50517","4615","759","230","98","3380","0","308","26","1","2","0","26","307","97","37","37","11.1","0.1","0.5","0.2","7.9","0","0.7","0.1","0","0.1","0","0.1","0.7","0.2","0.1","0.1"
"County","state","2020","county","18","Indiana","IN","18039","Elkhart County","18039","205184","0","79389","210","72362","763","42597","2903","4518","548","15879","1014","24605","1161","30412","1860","29989","95","56611","0","25082","1156","5660","667","5048","641","52723","1147","6638","676","5528","612","1841","332","5967","529","3621","435","21.1","1.4","4.4","0.5","21.9","1.4","18.9","0.9","15","0.9","14.6","0.1","27.6","0","12.4","0.6","7.8","0.9","2.7","0.3","25.7","0.6","8.4","0.9","7","0.8","2.5","0.5","8.2","0.7","1.8","0.2","0.5385","0.5604","0.9121","0.967","0.967","3.945","0.989","0.0769","0.967","0.1209","0.9011","0.956","3.0219","0.8022","0.956","0.956","0.956","0.9231","0.5275","0.7692","0.9121","0.5714","3.7033","0.956","11.6262","1","0","0","1","1","1","3","0","1","0","1","1","3","1","1","1","0","0","1","0","2","","235624","28507","2127","10798","698","33339","0","1892","214","327","124","76","70","5854","781","437","437","14.1","0","5.3","0.3","16.2","0","0.9","0.1","0.2","0.1","0","0.1","2.9","0.4","0.2","0.1"
"County","state","2020","county","18","Indiana","IN","18041","Fayette County","18041","23068","0","10818","83","9686","263","6695","676","471","154","2357","310","2670","336","1861","362","4610","40","5079","0","4349","408","774","182","149","138","1359","326","531","179","664","191","135","76","636","166","440","185","29.5","3","4.4","1.4","24.3","3.1","16.5","2.1","8.2","1.6","20","0.2","22","0","19.1","1.8","8","1.9","0.7","0.6","5.9","1.4","4.9","1.7","6.1","1.8","1.4","0.8","6.6","1.7","1.9","0.8","0.9231","0.5604","0.4505","0.9341","0.6593","3.5274","0.8791","0.8901","0.3407","0.9121","0.9231","0.6044","3.6704","1","0.3626","0.3626","0.3626","0.6374","0.4505","0.4066","0.7582","0.6484","2.9011","0.7253","10.4615","0.9451","1","0","0","1","0","2","0","0","1","1","0","2","0","0","0","0","0","0","0","0","","20809","4032","646","577","115","297","0","10","19","44","57","0","23","428","301","3","3","17.8","0.1","2.5","0.5","1.3","0","0","0.1","0.2","0.2","0","0.2","1.9","1.3","0","0.1"
"County","state","2020","county","18","Indiana","IN","18043","Floyd County","18043","77879","23","33011","133","29264","430","12169","958","1645","340","5589","501","4862","518","3643","448","12540","69","17594","33","10560","757","1999","307","259","153","9722","475","2382","290","672","163","108","58","1712","308","1416","296","16","1.3","4.1","0.8","19.1","1.7","9","1","4.7","0.6","16.1","0.1","22.6","0","13.8","1","6.8","1","0.4","0.2","12.5","0.6","7.2","0.9","2","0.5","0.4","0.2","5.9","1","1.8","0.4","0.1648","0.4725","0.7473","0.2308","0.0769","1.6923","0.2418","0.1648","0.5165","0.3407","0.7692","0.3407","2.1319","0.2747","0.7253","0.7253","0.7253","0.8352","0.0659","0.022","0.6703","0.5714","2.1648","0.3626","6.7143","0.2857","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","73268","11644","1381","3987","284","2664","2","869","129","183","76","0","29","2007","307","12","12","15.2","0.1","5.1","0.4","3.4","0.1","1.1","0.2","0.2","0.1","0","0.1","2.6","0.4","0","0.1"
"County","state","2020","county","18","Indiana","IN","18045","Fountain County","18045","16456","0","7937","42","6982","204","3337","494","427","127","1387","207","1305","243","1655","346","3259","23","3606","32","3148","292","377","123","102","90","803","63","91","50","824","183","59","30","326","87","144","33","20.5","3","5.4","1.6","19.9","2.9","11.3","2.1","10.1","2.1","19.8","0.1","21.9","0.2","19.3","1.8","5.4","1.8","0.7","0.6","4.9","0.4","1.1","0.6","10.4","2.3","0.8","0.4","4.7","1.2","0.9","0.2","0.4835","0.8022","0.1978","0.5604","0.8681","2.912","0.6374","0.8352","0.3297","0.9231","0.3626","0.6044","3.055","0.8571","0.1978","0.1978","0.1978","0.0989","0.7363","0.0879","0.3846","0.0659","1.3736","0.0879","7.5384","0.4286","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","","13247","2050","297","65","26","427","0","86","26","15","13","0","19","210","42","0","0","12.6","0","0.4","0.2","2.6","0","0.5","0.2","0.1","0.1","0","0.2","1.3","0.3","0","0.2"
"County","state","2020","county","18","Indiana","IN","18047","Franklin County","18047","22750","0","9802","56","8867","226","3679","576","283","106","1153","215","1764","302","1620","481","4144","17","5392","133","3056","325","486","148","189","137","762","181","177","57","1259","288","198","98","511","173","159","62","16.2","2.5","2.4","0.9","13","2.4","11.3","1.9","7.2","2.1","18.2","0.1","23.7","0.6","13.5","1.4","5.5","1.7","0.9","0.6","3.3","0.8","1.8","0.6","12.8","2.9","2.2","1.1","5.8","1.9","0.7","0.3","0.1978","0.044","0.1429","0.5604","0.4286","1.3737","0.1429","0.5824","0.7033","0.2747","0.4066","0.7143","2.6813","0.6593","0","0","0","0.1538","0.8462","0.7363","0.6374","0.033","2.4067","0.4725","6.4617","0.2637","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","16141","3434","538","32","41","267","0","87","119","0","23","0","23","376","127","0","0","15.2","0","0.1","0.2","1.2","0","0.4","0.5","0","0.2","0","0.2","1.7","0.6","0","0.2"
